id,orthography,reading,masteryKey,bccwjRank,bccwjOrigin,edictCommon,inKyoikuBasicVocab,inRokusyuTaisyo,rawPos,verbClass,endingGroup,teFormPattern,transitivity,englishPrimary,englishGlosses,alternateSpellings,sameSpellingOtherReadings,allowedInflections,inflectionNotes,dictionary_jp,dictionary_reading,polite_jp,polite_reading,politePast_jp,politePast_reading,politeNegative_jp,politeNegative_reading,negative_jp,negative_reading,past_jp,past_reading,te_jp,te_reading,potential_jp,potential_reading,passive_jp,passive_reading,causative_jp,causative_reading,causativePassive_jp,causativePassive_reading,volitional_jp,volitional_reading,ba_jp,ba_reading,tara_jp,tara_reading,imperative_jp,imperative_reading,prohibitive_jp,prohibitive_reading
verb-0240,申す,もうす,申す,1724,和,True,True,True,v5s,godan,su,godan-して,transitive,say,say | be called | do,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,申す,もうす,申します,もうします,申しました,もうしました,申しません,もうしません,申さない,もうさない,申した,もうした,申して,もうして,申せる,もうせる,申される,もうされる,申させる,もうさせる,申させられる,もうさせられる,申そう,もうそう,申せば,もうせば,申したら,もうしたら,申せ,もうせ,申すな,もうすな
verb-0241,望む,のぞむ,望む,1728,和,True,True,True,v5m,godan,mu,godan-んで,transitive,desire,desire | wish for | expect | see | command (a view of),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,望む,のぞむ,望みます,のぞみます,望みました,のぞみました,望みません,のぞみません,望まない,のぞまない,望んだ,のぞんだ,望んで,のぞんで,望める,のぞめる,望まれる,のぞまれる,望ませる,のぞませる,望ませられる,のぞませられる,望もう,のぞもう,望めば,のぞめば,望んだら,のぞんだら,望め,のぞめ,望むな,のぞむな
verb-0242,勤める,つとめる,勤める,1733,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,work (for),work (for) | be employed (at) | serve (in) | serve (as) | act (as) | fill (the position of) | play the role (of) | conduct a religious service,務める,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,勤める,つとめる,勤めます,つとめます,勤めました,つとめました,勤めません,つとめません,勤めない,つとめない,勤めた,つとめた,勤めて,つとめて,勤められる,つとめられる,勤められる,つとめられる,勤めさせる,つとめさせる,勤めさせられる,つとめさせられる,勤めよう,つとめよう,勤めれば,つとめれば,勤めたら,つとめたら,勤めろ,つとめろ,勤めるな,つとめるな
verb-0243,動かす,うごかす,動かす,1740,和,True,True,True,v5s,godan,su,godan-して,transitive,move,move | shift | operate | set in motion | mobilize | mobilise | inspire | rouse | move (e.g. feeling) | influence | deny | change,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,動かす,うごかす,動かします,うごかします,動かしました,うごかしました,動かしません,うごかしません,動かさない,うごかさない,動かした,うごかした,動かして,うごかして,動かせる,うごかせる,動かされる,うごかされる,動かさせる,うごかさせる,動かさせられる,うごかさせられる,動かそう,うごかそう,動かせば,うごかせば,動かしたら,うごかしたら,動かせ,うごかせ,動かすな,うごかすな
verb-0244,通う,かよう,通う,1750,和,True,True,True,v5u,godan,u,godan-って,intransitive,go back and forth,"go back and forth | ply between | commute | attend (school, church, etc.)",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,通う,かよう,通います,かよいます,通いました,かよいました,通いません,かよいません,通わない,かよわない,通った,かよった,通って,かよって,通える,かよえる,通われる,かよわれる,通わせる,かよわせる,通わせられる,かよわせられる,通おう,かよおう,通えば,かよえば,通ったら,かよったら,通え,かよえ,通うな,かような
verb-0245,受け取る,うけとる,受け取る,1754,和,True,True,True,v5r,godan,ru,godan-って,transitive,receive,receive | get | accept | take | interpret | understand,受けとる | 受取る | 請け取る | 請取る | うけ取る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,受け取る,うけとる,受け取ります,うけとります,受け取りました,うけとりました,受け取りません,うけとりません,受け取らない,うけとらない,受け取った,うけとった,受け取って,うけとって,受け取れる,うけとれる,受け取られる,うけとられる,受け取らせる,うけとらせる,受け取らせられる,うけとらせられる,受け取ろう,うけとろう,受け取れば,うけとれば,受け取ったら,うけとったら,受け取れ,うけとれ,受け取るな,うけとるな
verb-0246,減る,へる,減る,1756,和,True,True,True,v5r,godan,ru,godan-って,intransitive,decrease (in size or number),decrease (in size or number) | diminish | abate,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,減る,へる,減ります,へります,減りました,へりました,減りません,へりません,減らない,へらない,減った,へった,減って,へって,減れる,へれる,減られる,へられる,減らせる,へらせる,減らせられる,へらせられる,減ろう,へろう,減れば,へれば,減ったら,へったら,減れ,へれ,減るな,へるな
verb-0247,受け入れる,うけいれる,受け入れる,1761,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,accept,accept | receive | agree,受入れる | 受け容れる | 受けいれる | 受容れる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,受け入れる,うけいれる,受け入れます,うけいれます,受け入れました,うけいれました,受け入れません,うけいれません,受け入れない,うけいれない,受け入れた,うけいれた,受け入れて,うけいれて,受け入れられる,うけいれられる,受け入れられる,うけいれられる,受け入れさせる,うけいれさせる,受け入れさせられる,うけいれさせられる,受け入れよう,うけいれよう,受け入れれば,うけいれれば,受け入れたら,うけいれたら,受け入れろ,うけいれろ,受け入れるな,うけいれるな
verb-0248,見付かる,みつかる,見付かる,1766,和,True,True,True,v5r,godan,ru,godan-って,intransitive,be found,be found | be discovered,見つかる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,見付かる,みつかる,見付かります,みつかります,見付かりました,みつかりました,見付かりません,みつかりません,見付からない,みつからない,見付かった,みつかった,見付かって,みつかって,見付かれる,みつかれる,見付かられる,みつかられる,見付からせる,みつからせる,見付からせられる,みつからせられる,見付かろう,みつかろう,見付かれば,みつかれば,見付かったら,みつかったら,見付かれ,みつかれ,見付かるな,みつかるな
verb-0249,生かす,いかす,生かす,1784,和,True,True,True,v5s,godan,su,godan-して,transitive,make (the best) use of,"make (the best) use of | leverage (skills, attributes, experience, etc.) | capitalise on (experience, etc) | let live | keep alive | revive | resuscitate",活かす,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,生かす,いかす,生かします,いかします,生かしました,いかしました,生かしません,いかしません,生かさない,いかさない,生かした,いかした,生かして,いかして,生かせる,いかせる,生かされる,いかされる,生かさせる,いかさせる,生かさせられる,いかさせられる,生かそう,いかそう,生かせば,いかせば,生かしたら,いかしたら,生かせ,いかせ,生かすな,いかすな
verb-0250,負ける,まける,負ける,1787,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,both,lose,"lose | be defeated | succumb | give in | surrender | yield | be inferior to | break out in a rash due to (e.g. lacquer, shaving, etc.) | reduce the price | lower the price | give a discount on",敗ける | 敗北る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,負ける,まける,負けます,まけます,負けました,まけました,負けません,まけません,負けない,まけない,負けた,まけた,負けて,まけて,負けられる,まけられる,負けられる,まけられる,負けさせる,まけさせる,負けさせられる,まけさせられる,負けよう,まけよう,負ければ,まければ,負けたら,まけたら,負けろ,まけろ,負けるな,まけるな
verb-0251,借りる,かりる,借りる,1790,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,borrow,borrow | have a loan | rent | hire,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,借りる,かりる,借ります,かります,借りました,かりました,借りません,かりません,借りない,かりない,借りた,かりた,借りて,かりて,借りられる,かりられる,借りられる,かりられる,借りさせる,かりさせる,借りさせられる,かりさせられる,借りよう,かりよう,借りれば,かりれば,借りたら,かりたら,借りろ,かりろ,借りるな,かりるな
verb-0252,渡す,わたす,渡す,1819,和,True,True,True,v5s,godan,su,godan-して,transitive,"ferry across (a river, etc.)","ferry across (a river, etc.) | carry across | traverse | lay across | build across | hand over | hand in | pass | give | transfer",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,渡す,わたす,渡します,わたします,渡しました,わたしました,渡しません,わたしません,渡さない,わたさない,渡した,わたした,渡して,わたして,渡せる,わたせる,渡される,わたされる,渡させる,わたさせる,渡させられる,わたさせられる,渡そう,わたそう,渡せば,わたせば,渡したら,わたしたら,渡せ,わたせ,渡すな,わたすな
verb-0253,伺う,うかがう,伺う,1826,和,True,True,True,v5u,godan,u,godan-って,both,ask,"ask | inquire | hear | be told | implore (a god for an oracle) | seek direction (from your superior) | visit | speak to (a large crowd at a theatre, etc.)",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,伺う,うかがう,伺います,うかがいます,伺いました,うかがいました,伺いません,うかがいません,伺わない,うかがわない,伺った,うかがった,伺って,うかがって,伺える,うかがえる,伺われる,うかがわれる,伺わせる,うかがわせる,伺わせられる,うかがわせられる,伺おう,うかがおう,伺えば,うかがえば,伺ったら,うかがったら,伺え,うかがえ,伺うな,うかがうな
verb-0254,慣れる,なれる,慣れる,1832,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,grow accustomed (to),grow accustomed (to) | get too familiar with | get used (to) | become domesticated | become tame,馴れる | 狎れる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,慣れる,なれる,慣れます,なれます,慣れました,なれました,慣れません,なれません,慣れない,なれない,慣れた,なれた,慣れて,なれて,慣れられる,なれられる,慣れられる,なれられる,慣れさせる,なれさせる,慣れさせられる,なれさせられる,慣れよう,なれよう,慣れれば,なれれば,慣れたら,なれたら,慣れろ,なれろ,慣れるな,なれるな
verb-0255,生む,うむ,生む,1840,和,True,True,True,v5m,godan,mu,godan-んで,transitive,give birth,give birth | deliver | produce,産む,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,生む,うむ,生みます,うみます,生みました,うみました,生みません,うみません,生まない,うまない,生んだ,うんだ,生んで,うんで,生める,うめる,生まれる,うまれる,生ませる,うませる,生ませられる,うませられる,生もう,うもう,生めば,うめば,生んだら,うんだら,生め,うめ,生むな,うむな
verb-0256,流す,ながす,流す,1846,和,True,True,True,v5s,godan,su,godan-して,transitive,drain,"drain | pour | spill | shed (blood, tears) | wash away | distribute (e.g. electricity over wires, music over a PA system, etc.) | circulate | broadcast | beam | cruise (e.g. taxi) | float | set adrift | call off (a meeting, etc.)",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,流す,ながす,流します,ながします,流しました,ながしました,流しません,ながしません,流さない,ながさない,流した,ながした,流して,ながして,流せる,ながせる,流される,ながされる,流させる,ながさせる,流させられる,ながさせられる,流そう,ながそう,流せば,ながせば,流したら,ながしたら,流せ,ながせ,流すな,ながすな
verb-0257,優れる,すぐれる,優れる,1851,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,surpass,surpass | outstrip | excel,勝れる | 傑れる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,優れる,すぐれる,優れます,すぐれます,優れました,すぐれました,優れません,すぐれません,優れない,すぐれない,優れた,すぐれた,優れて,すぐれて,優れられる,すぐれられる,優れられる,すぐれられる,優れさせる,すぐれさせる,優れさせられる,すぐれさせられる,優れよう,すぐれよう,優れれば,すぐれれば,優れたら,すぐれたら,優れろ,すぐれろ,優れるな,すぐれるな
verb-0258,落ち着く,おちつく,落ち着く,1863,和,True,True,True,v5k,godan,ku,godan-いて,intransitive,calm down,"calm down | compose oneself | regain presence of mind | settle down | die down | become stable | abate | settle down (in a location, job, etc.) | settle in | be settled | be fixed | have been reached | harmonize with | harmonise with | match | suit | fit | be unobtrusive | be quiet | be subdued",落ちつく | 落着く | 落ち付く | 落付く,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,落ち着く,おちつく,落ち着きます,おちつきます,落ち着きました,おちつきました,落ち着きません,おちつきません,落ち着かない,おちつかない,落ち着いた,おちついた,落ち着いて,おちついて,落ち着ける,おちつける,落ち着かれる,おちつかれる,落ち着かせる,おちつかせる,落ち着かせられる,おちつかせられる,落ち着こう,おちつこう,落ち着けば,おちつけば,落ち着いたら,おちついたら,落ち着け,おちつけ,落ち着くな,おちつくな
verb-0259,着く,つく,着く,1868,和,True,True,True,v5k,godan,ku,godan-いて,unspecified,arrive at,arrive at | reach | sit on | sit at (e.g. the table),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,着く,つく,着きます,つきます,着きました,つきました,着きません,つきません,着かない,つかない,着いた,ついた,着いて,ついて,着ける,つける,着かれる,つかれる,着かせる,つかせる,着かせられる,つかせられる,着こう,つこう,着けば,つけば,着いたら,ついたら,着け,つけ,着くな,つくな
verb-0260,外す,はずす,外す,1879,和,True,True,True,v5s,godan,su,godan-して,transitive,unfasten,unfasten | undo | remove | take off | deinstall | leave | step out | slip away | miss (a target),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,外す,はずす,外します,はずします,外しました,はずしました,外しません,はずしません,外さない,はずさない,外した,はずした,外して,はずして,外せる,はずせる,外される,はずされる,外させる,はずさせる,外させられる,はずさせられる,外そう,はずそう,外せば,はずせば,外したら,はずしたら,外せ,はずせ,外すな,はずすな
verb-0261,降る,ふる,降る,1887,和,True,True,True,v5r,godan,ru,godan-って,intransitive,precipitate,precipitate | fall (e.g. rain),,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,降る,ふる,降ります,ふります,降りました,ふりました,降りません,ふりません,降らない,ふらない,降った,ふった,降って,ふって,降れる,ふれる,降られる,ふられる,降らせる,ふらせる,降らせられる,ふらせられる,降ろう,ふろう,降れば,ふれば,降ったら,ふったら,降れ,ふれ,降るな,ふるな
verb-0262,取り上げる,とりあげる,取り上げる,1893,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,pick up,pick up | take up | adopt | accept | listen to | take away | confiscate | deprive | disqualify | deliver (a child),取上げる | 取りあげる | 採り上げる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,取り上げる,とりあげる,取り上げます,とりあげます,取り上げました,とりあげました,取り上げません,とりあげません,取り上げない,とりあげない,取り上げた,とりあげた,取り上げて,とりあげて,取り上げられる,とりあげられる,取り上げられる,とりあげられる,取り上げさせる,とりあげさせる,取り上げさせられる,とりあげさせられる,取り上げよう,とりあげよう,取り上げれば,とりあげれば,取り上げたら,とりあげたら,取り上げろ,とりあげろ,取り上げるな,とりあげるな
verb-0263,抜ける,ぬける,抜ける,1895,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,come out,come out | fall out | be omitted | be missing | escape | come loose | fade | discolour | wear a hole (e.g. clothes) | leave (e.g. a meeting) | be clear | be transparent (e.g. of the sky) | be stupid | be absentminded | be careless | be inattentive | {comp} to exit (a program loop),脱ける,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,抜ける,ぬける,抜けます,ぬけます,抜けました,ぬけました,抜けません,ぬけません,抜けない,ぬけない,抜けた,ぬけた,抜けて,ぬけて,抜けられる,ぬけられる,抜けられる,ぬけられる,抜けさせる,ぬけさせる,抜けさせられる,ぬけさせられる,抜けよう,ぬけよう,抜ければ,ぬければ,抜けたら,ぬけたら,抜けろ,ぬけろ,抜けるな,ぬけるな
verb-0264,努める,つとめる,努める,1916,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,endeavor (endeavour),endeavor (endeavour) | try | strive | make an effort | exert oneself | be diligent,勉める | 力める,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,努める,つとめる,努めます,つとめます,努めました,つとめました,努めません,つとめません,努めない,つとめない,努めた,つとめた,努めて,つとめて,努められる,つとめられる,努められる,つとめられる,努めさせる,つとめさせる,努めさせられる,つとめさせられる,努めよう,つとめよう,努めれば,つとめれば,努めたら,つとめたら,努めろ,つとめろ,努めるな,つとめるな
verb-0265,悩む,なやむ,悩む,1918,和,True,True,True,v5m,godan,mu,godan-んで,unspecified,be worried,be worried | be troubled,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,悩む,なやむ,悩みます,なやみます,悩みました,なやみました,悩みません,なやみません,悩まない,なやまない,悩んだ,なやんだ,悩んで,なやんで,悩める,なやめる,悩まれる,なやまれる,悩ませる,なやませる,悩ませられる,なやませられる,悩もう,なやもう,悩めば,なやめば,悩んだら,なやんだら,悩め,なやめ,悩むな,なやむな
verb-0266,下げる,さげる,下げる,1924,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,hang,"hang | suspend | wear (e.g. decoration) | lower | reduce | bring down | demote | move back | pull back | clear (plates) | remove (food, etc. from table or altar)",,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,下げる,さげる,下げます,さげます,下げました,さげました,下げません,さげません,下げない,さげない,下げた,さげた,下げて,さげて,下げられる,さげられる,下げられる,さげられる,下げさせる,さげさせる,下げさせられる,さげさせられる,下げよう,さげよう,下げれば,さげれば,下げたら,さげたら,下げろ,さげろ,下げるな,さげるな
verb-0267,立ち上がる,たちあがる,立ち上がる,1927,和,True,True,True,v5r,godan,ru,godan-って,intransitive,stand up,stand up | get up | rise | recover | take action | start | {sumo} to make the initial charge | {comp} to start up | boot up,立上がる | 起ち上がる | 立ちあがる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,立ち上がる,たちあがる,立ち上がります,たちあがります,立ち上がりました,たちあがりました,立ち上がりません,たちあがりません,立ち上がらない,たちあがらない,立ち上がった,たちあがった,立ち上がって,たちあがって,立ち上がれる,たちあがれる,立ち上がられる,たちあがられる,立ち上がらせる,たちあがらせる,立ち上がらせられる,たちあがらせられる,立ち上がろう,たちあがろう,立ち上がれば,たちあがれば,立ち上がったら,たちあがったら,立ち上がれ,たちあがれ,立ち上がるな,たちあがるな
verb-0268,収める,おさめる,収める,1941,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,dedicate,dedicate | make an offering | pay (fees) | supply | store | finish | bring to a close | restore (something to its place) | achieve (e.g. a result),納める,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,収める,おさめる,収めます,おさめます,収めました,おさめました,収めません,おさめません,収めない,おさめない,収めた,おさめた,収めて,おさめて,収められる,おさめられる,収められる,おさめられる,収めさせる,おさめさせる,収めさせられる,おさめさせられる,収めよう,おさめよう,収めれば,おさめれば,収めたら,おさめたら,収めろ,おさめろ,収めるな,おさめるな
verb-0269,黙る,だまる,黙る,1961,和,True,True,True,v5r,godan,ru,godan-って,intransitive,be silent,be silent,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,黙る,だまる,黙ります,だまります,黙りました,だまりました,黙りません,だまりません,黙らない,だまらない,黙った,だまった,黙って,だまって,黙れる,だまれる,黙られる,だまられる,黙らせる,だまらせる,黙らせられる,だまらせられる,黙ろう,だまろう,黙れば,だまれば,黙ったら,だまったら,黙れ,だまれ,黙るな,だまるな
verb-0270,洗う,あらう,洗う,1967,和,True,True,True,v5u,godan,u,godan-って,transitive,wash,wash | investigate,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,洗う,あらう,洗います,あらいます,洗いました,あらいました,洗いません,あらいません,洗わない,あらわない,洗った,あらった,洗って,あらって,洗える,あらえる,洗われる,あらわれる,洗わせる,あらわせる,洗わせられる,あらわせられる,洗おう,あらおう,洗えば,あらえば,洗ったら,あらったら,洗え,あらえ,洗うな,あらうな
verb-0271,咲く,さく,咲く,1970,和,True,True,True,v5k,godan,ku,godan-いて,intransitive,bloom,bloom,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,咲く,さく,咲きます,さきます,咲きました,さきました,咲きません,さきません,咲かない,さかない,咲いた,さいた,咲いて,さいて,咲ける,さける,咲かれる,さかれる,咲かせる,さかせる,咲かせられる,さかせられる,咲こう,さこう,咲けば,さけば,咲いたら,さいたら,咲け,さけ,咲くな,さくな
verb-0272,終える,おえる,終える,1971,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,finish,finish | graduate,了える | 卒える,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,終える,おえる,終えます,おえます,終えました,おえました,終えません,おえません,終えない,おえない,終えた,おえた,終えて,おえて,終えられる,おえられる,終えられる,おえられる,終えさせる,おえさせる,終えさせられる,おえさせられる,終えよう,おえよう,終えれば,おえれば,終えたら,おえたら,終えろ,おえろ,終えるな,おえるな
verb-0273,回す,まわす,回す,1983,和,True,True,True,v5s,godan,su,godan-して,transitive,turn,turn | rotate | gyrate | circulate | send around | surround | put something to a new use (e.g. leftovers) | ... around (i.e. to chase someone around) | dial (e.g. telephone number) | invest | gang-rape,廻す,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,回す,まわす,回します,まわします,回しました,まわしました,回しません,まわしません,回さない,まわさない,回した,まわした,回して,まわして,回せる,まわせる,回される,まわされる,回させる,まわさせる,回させられる,まわさせられる,回そう,まわそう,回せば,まわせば,回したら,まわしたら,回せ,まわせ,回すな,まわすな
verb-0274,下がる,さがる,下がる,1996,和,True,True,True,v5r,godan,ru,godan-って,intransitive,hang down,hang down | abate | retire | fall | step back,下る,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,下がる,さがる,下がります,さがります,下がりました,さがりました,下がりません,さがりません,下がらない,さがらない,下がった,さがった,下がって,さがって,下がれる,さがれる,下がられる,さがられる,下がらせる,さがらせる,下がらせられる,さがらせられる,下がろう,さがろう,下がれば,さがれば,下がったら,さがったら,下がれ,さがれ,下がるな,さがるな
verb-0275,支払う,しはらう,支払う,2007,和,True,True,True,v5u,godan,u,godan-って,transitive,pay,pay,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,支払う,しはらう,支払います,しはらいます,支払いました,しはらいました,支払いません,しはらいません,支払わない,しはらわない,支払った,しはらった,支払って,しはらって,支払える,しはらえる,支払われる,しはらわれる,支払わせる,しはらわせる,支払わせられる,しはらわせられる,支払おう,しはらおう,支払えば,しはらえば,支払ったら,しはらったら,支払え,しはらえ,支払うな,しはらうな
verb-0276,助ける,たすける,助ける,2010,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,help,help | save | rescue | give relief to | spare (life) | reinforce | promote | abet,援ける | 救ける | 扶ける | 佐ける | 佑ける | 輔ける,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,助ける,たすける,助けます,たすけます,助けました,たすけました,助けません,たすけません,助けない,たすけない,助けた,たすけた,助けて,たすけて,助けられる,たすけられる,助けられる,たすけられる,助けさせる,たすけさせる,助けさせられる,たすけさせられる,助けよう,たすけよう,助ければ,たすければ,助けたら,たすけたら,助けろ,たすけろ,助けるな,たすけるな
verb-0277,構う,かまう,構う,2018,和,True,True,True,v5u,godan,u,godan-って,unspecified,mind,mind | care about | be concerned about | care for | look after | prepare for | interfere with | meddle in | tease,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,構う,かまう,構います,かまいます,構いました,かまいました,構いません,かまいません,構わない,かまわない,構った,かまった,構って,かまって,構える,かまえる,構われる,かまわれる,構わせる,かまわせる,構わせられる,かまわせられる,構おう,かまおう,構えば,かまえば,構ったら,かまったら,構え,かまえ,構うな,かまうな
verb-0278,高める,たかめる,高める,2021,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,transitive,raise,raise | lift | boost | enhance,,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,高める,たかめる,高めます,たかめます,高めました,たかめました,高めません,たかめません,高めない,たかめない,高めた,たかめた,高めて,たかめて,高められる,たかめられる,高められる,たかめられる,高めさせる,たかめさせる,高めさせられる,たかめさせられる,高めよう,たかめよう,高めれば,たかめれば,高めたら,たかめたら,高めろ,たかめろ,高めるな,たかめるな
verb-0279,遅れる,おくれる,遅れる,2026,和,True,True,True,v1,ichidan,ichidan_ru,ichidan-て,intransitive,be late,be late | be delayed | fall behind schedule | be overdue,後れる,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,遅れる,おくれる,遅れます,おくれます,遅れました,おくれました,遅れません,おくれません,遅れない,おくれない,遅れた,おくれた,遅れて,おくれて,遅れられる,おくれられる,遅れられる,おくれられる,遅れさせる,おくれさせる,遅れさせられる,おくれさせられる,遅れよう,おくれよう,遅れれば,おくれれば,遅れたら,おくれたら,遅れろ,おくれろ,遅れるな,おくれるな
verb-0280,下ろす,おろす,下ろす,2027,和,True,True,True,v5s,godan,su,godan-して,transitive,take down (e.g. flag),take down (e.g. flag) | launch (e.g. boat) | drop | lower (e.g. ladder) | let (a person) off | unload | discharge | drop off (a passenger from a vehicle) | withdraw money from an account | wear (clothing) for the first time | fillet (e.g. a fish),降ろす | 下す,[],ba | causative | causativePassive | dictionary | imperative | negative | passive | past | polite | politeNegative | politePast | potential | prohibitive | tara | te | volitional,,下ろす,おろす,下ろします,おろします,下ろしました,おろしました,下ろしません,おろしません,下ろさない,おろさない,下ろした,おろした,下ろして,おろして,下ろせる,おろせる,下ろされる,おろされる,下ろさせる,おろさせる,下ろさせられる,おろさせられる,下ろそう,おろそう,下ろせば,おろせば,下ろしたら,おろしたら,下ろせ,おろせ,下ろすな,おろすな
